version,platform,arch,sha256,filename
22.23.2,darwin,arm64,61130f394c1630d211dd50aecc4353d379480f36d3ac913cd85dbba1aed585c6,node-v22.23.2-darwin-arm64.tar.gz
22.23.2,darwin,x64,58e99022c2ff89395576cc7fd4d98cea24bb68081475d5f88b801ee8729fb026,node-v22.23.2-darwin-x64.tar.gz
22.23.2,win32,x64,1177b4137ba5adaa56354ae40f1080c7450e8ae09cecb47da459d1c52ac99f97,node-v22.23.2-win-x64.zip
